nodeId:ID(Intersection),longitude:double,latitude:double,:LABEL
549,-60.0089954,-3.0972546,Intersection
550,-60.0093414,-3.0971442,Intersection
551,-60.0095730,-3.0971027,Intersection
552,-60.0088736,-3.0942485,Intersection
553,-60.0090868,-3.0945446,Intersection
554,-60.0092133,-3.0947448,Intersection
555,-60.0092396,-3.0948162,Intersection
556,-60.0092454,-3.0948941,Intersection
557,-60.0076856,-3.0956353,Intersection
558,-60.0066486,-3.0964111,Intersection
559,-60.0059642,-3.0969452,Intersection
560,-60.0074720,-3.0953336,Intersection
561,-60.0064305,-3.0961315,Intersection
562,-60.0079474,-3.0959839,Intersection
563,-60.0069175,-3.0967590,Intersection
564,-60.0081063,-3.0929029,Intersection
565,-60.0076890,-3.0932592,Intersection
566,-60.0076303,-3.0931775,Intersection
567,-60.0078770,-3.0944290,Intersection
568,-60.0070761,-3.0933644,Intersection
569,-60.0065390,-3.0936054,Intersection
570,-60.0056506,-3.0942846,Intersection
571,-60.0060924,-3.0939506,Intersection
572,-60.0076589,-3.1050652,Intersection
573,-60.0068993,-3.1059506,Intersection
574,-60.0097352,-3.1000942,Intersection
575,-60.0091290,-3.1001191,Intersection
576,-60.0086111,-3.1001669,Intersection
577,-60.0080172,-3.1002457,Intersection
578,-60.0073151,-3.1022226,Intersection
579,-60.0079269,-3.1035415,Intersection
580,-60.0097825,-3.1008403,Intersection
581,-60.0091640,-3.1008761,Intersection
582,-60.0086883,-3.1009047,Intersection
583,-60.0092205,-3.1016845,Intersection
584,-60.0084803,-3.0981357,Intersection
585,-60.0084668,-3.0981129,Intersection
586,-60.0084494,-3.0980929,Intersection
587,-60.0084212,-3.0980821,Intersection
588,-60.0073372,-3.1003305,Intersection
589,-60.0069447,-3.0985468,Intersection
590,-60.0069219,-3.0984973,Intersection
591,-60.0068957,-3.0984745,Intersection
592,-60.0068066,-3.0984518,Intersection
593,-60.0069036,-3.0980880,Intersection
594,-60.0065316,-3.0991656,Intersection
595,-60.0063223,-3.0995792,Intersection
596,-60.0060200,-3.1000441,Intersection
597,-60.0058250,-3.1003332,Intersection
598,-60.0044033,-3.0872993,Intersection
599,-60.0037887,-3.0883679,Intersection
600,-60.0037425,-3.0884332,Intersection
601,-60.0036711,-3.0885165,Intersection
602,-60.0035946,-3.0885839,Intersection
603,-60.0034900,-3.0886545,Intersection
604,-60.0025760,-3.0891935,Intersection
605,-60.0032853,-3.0958661,Intersection
606,-60.0031586,-3.0955498,Intersection
607,-60.0029848,-3.0951716,Intersection
608,-60.0029337,-3.0950245,Intersection
609,-60.0029063,-3.0949110,Intersection
610,-60.0029027,-3.0948959,Intersection
611,-60.0028549,-3.0946981,Intersection
612,-60.0028335,-3.0944684,Intersection
613,-60.0066985,-3.0916723,Intersection
614,-60.0065032,-3.0919779,Intersection
615,-60.0062674,-3.0923727,Intersection
616,-60.0061941,-3.0924882,Intersection
617,-60.0060790,-3.0926693,Intersection
618,-60.0060270,-3.0927266,Intersection
619,-60.0059469,-3.0927865,Intersection
620,-60.0058564,-3.0928360,Intersection
621,-60.0054011,-3.0930753,Intersection
622,-60.0041944,-3.0937095,Intersection
623,-60.0040747,-3.0937654,Intersection
624,-60.0039634,-3.0938063,Intersection
625,-60.0038783,-3.0938324,Intersection
626,-60.0088980,-3.0906793,Intersection
627,-60.0089397,-3.0906445,Intersection
628,-60.0089598,-3.0906300,Intersection
629,-60.0090522,-3.0905558,Intersection
630,-60.0090796,-3.0905288,Intersection
631,-60.0090962,-3.0904989,Intersection
632,-60.0091951,-3.0903104,Intersection
633,-60.0050814,-3.0919803,Intersection
634,-60.0046381,-3.0914979,Intersection
635,-60.0043854,-3.0912213,Intersection
636,-60.0041755,-3.0909915,Intersection
637,-60.0039379,-3.0907314,Intersection
638,-60.0037268,-3.0905048,Intersection
639,-60.0034980,-3.0902499,Intersection
640,-60.0032737,-3.0900043,Intersection
641,-60.0030519,-3.0897615,Intersection
642,-60.0059678,-3.0920845,Intersection
643,-60.0056827,-3.0917332,Intersection
644,-60.0036483,-3.0933215,Intersection
645,-60.0026945,-3.0909739,Intersection
646,-60.0022733,-3.0912367,Intersection
647,-60.0018585,-3.0900205,Intersection
648,-60.0012022,-3.0904304,Intersection
649,-60.0043793,-3.0889743,Intersection
650,-60.0043517,-3.0890077,Intersection
651,-60.0063307,-3.0916933,Intersection
652,-60.0062348,-3.0915081,Intersection
653,-60.0057742,-3.0910344,Intersection
654,-60.0053683,-3.0906178,Intersection
655,-60.0053505,-3.0905912,Intersection
656,-60.0053407,-3.0905663,Intersection
